paper_id,ref,axis,import_status,framework,pattern,confidence,evidence,rationale,claim_class,provenance
T1_01,Xia 2020 (GBNRS),1,internal,-,,high,body,Granular-ball NRS; native GrC construct (Axis-1 seed paper) not an imported external framework,,
T1_02,Sun 2024,1,internal,-,,med,log,GB + fuzzy-neighbourhood RS + multiobjective metaheuristic; all components native to GrC/optimisation,,
T1_03,Zhang 2025,1,import,neural network (learned attribute weights),A (component reuse),high,fulltext,Full text: Definition 4 states the granular-ball positive region and dependency function gamma=|POS|/|U| verbatim; Definition 5 is significance as positive-region increment. The ANN does not replace that quantity - Algorithm 1 step S3 uses the Definition 4 dependencies as the INITIAL weights of the input-hidden layer and iterates from there. Novelty is the multi-scale GB neighbourhood decision table plus the ANN weight refinement.,b,"Neural Networks 185(2025) 107178; Defs 4-5 and Algorithm 1 steps S1-S5; reports classification accuracy of the original dataset alongside each algorithm, mean+/-std, Friedman and Nemenyi tests over three classifiers."
T1_04,Sun 2025,1,import,label enhancement (multi-label),A (component reuse),high,fulltext,Full text: the dependency degree is cited to prior work (Sun et al. 2021a) and combined with mutual information and knowledge granularity; the contribution is the label-enhancement step and the multi-label uncertainty measures built on it.,b,Eng Appl Artif Intell 145(2025) 110191; dependency degree attributed to Sun et al. 2021a in Sec.2; Defs 5-12 build the label-enhancement measures; comparisons include the all-features condition and Friedman plus Nemenyi tests (Table 8).
T1_05,Li 2023,1,internal,-,,med,log,Improved fuzzy C-means + Pedrycz refined justifiable granularity; both native GrC,,
T1_06,Qian 2024,1,internal,-,,med,log,Directional semi-neighbourhood (granule-shape variant); native,,
T1_07,Wang 2020,1,internal,-,,med,log,Neighbourhood self-information built from NRS upper/lower approximations; measure derived from known granular quantities not an import,,
T1_08,Ju 2023,1,internal,(Dempster-Shafer),,low,log,Bi-directional adaptive k-NN neighbourhood + justifiable granularity + evidence theory; primarily native GrC,,
T1_09,Xia 2022 (TNNLS),1,internal,-,,med,log,Efficient/adaptive granular-ball generation; native,,
T1_10,Xia 2023 (GBRS),1,internal,-,,high,body,Unifies Pawlak RS and NRS under granular balls; native unification (discussed in section 3),,
T1_11,Yang et al. 2024 (3WC-GBNRS++),1,internal,-,,med,body,Three-way decision + GB + NRS; three-way decision is native GrC,,
T1_12,Xia 2022 (TKDE),1,internal,-,,low,log,GB-based RS for FS/classification/knowledge representation; native. NOTE logged as core but uncited in the manuscript (review MAJOR-7),,
T1_13,Xie 2024 (MGNR),1,internal,-,,med,log,Multi-granularity neighbour relationship; native multigranulation,,
T1_14,Qian W. 2023,1,import,weak supervision (label distribution learning),A (partial),med,fulltext,"Full text: feature-significance core is granular-ball FUZZY DEPENDENCY on a label-similarity relation R_L (known fuzzy-rough quantity) re-applied to LDL; novelty is the label-space relative-similarity relation + a local-consistency add-on. Reports a no-selection baseline (ablation 'A'), Friedman + Bonferroni-Dunn, and alpha/beta sensitivity.",b,"Knowl-Based Syst (2023), Sun2023KBS; feature significance is a granular-ball fuzzy dependency on a label-similarity relation R_L (a known fuzzy-rough quantity) re-applied to label-distribution data; the novelty is the label-space relative-similarity relation plus a local-consistency add-on. No-selection baseline (ablation 'A'), Friedman + Bonferroni-Dunn, alpha/beta sensitivity."
T1_15,Xia 2023 (multiscale fuzzy entropy),1,internal,-,,med,log,Multiscale fuzzy entropy for FS; fuzzy entropy native. NOTE logged as core but uncited (review MAJOR-7),,
T1_16,Zhang Q. et al. 2023 (incremental GB RS),1,internal,-,,med,log,Incremental attribute reduction with GB RS; native,,
T1_17,Xia 2021 (selector),1,internal,-,,med,log,GB as guide/initialiser for a greedy selector; native,,
T1_18,Peng 2022 (VPGB),1,internal,(label noise),,low,log,Variable-precision GB robust to label noise; variable precision is native RS,,
T1_19,Xia 2024 (anomaly),1,internal,-,,med,log,GB fuzzy RS for anomaly detection; native application (peripheral to FS),,
